Player Name,Position,Team,Season,Games Played,Points Per Team Points %,Player Age,Draft Eligibility,Vollman Modifier,Adjusted Point %
"Aasman, Logan",RW,Everett, 2012-13 Regular Season,25,0.07017543859649122,17.811750174385224,False,0.8690329219937332,0.06098476645570057
"Aasman, Logan",RW,Everett, 2013-14 Regular Season,54,0.08024691358024691,18.83644086124212,False,0.7044675976845154,0.056531350431473455
"Aasman, Logan",RW,Everett, 2014-15 Regular Season,31,0.09,19.739740825360254,False,0.5593976234471434,0.0503457861102429
"Aasman, Ryan",D,Swift Current, 2010-11 Regular Season,31,0.0125,18.850687430740322,False,0.7021795986231045,0.008777244982788807
"Aasman, Ryan",D,Seattle, 2009-10 Regular Season,28,0.06666666666666668,17.905279426521638,False,0.8540121241006253,0.056934141606708365
"Aasman, Ryan",D,Prince Albert, 2009-10 Regular Season,37,0.03125,17.714450141785413,False,0.884659307229263,0.02764560335091447
"Aasman, Ryan",D,Prince Albert, 2008-09 Regular Season,41,0.007352941176470587,16.87766853647846,False,1.0190464330415594,0.007492988478246759
"Abney, Cameron",RW,Everett, 2009-10 Regular Season,30,0.05813953488372092,18.597872574214048,False,0.7427816645812242,0.04318498049890838
"Abney, Cameron",RW,Everett, 2008-09 Regular Season,48,0.034782608695652174,17.820832189534567,False,0.8675743503607487,0.030176499142982562
"Abney, Cameron",RW,Oil Kings, 2009-10 Regular Season,33,0.0945945945945946,18.814743621318208,False,0.7079521744162962,0.06696844893127127
"Abney, Cameron",RW,Oil Kings, 2010-11 Regular Season,58,0.10106382978723404,19.82851281300332,False,0.5451408422316666,0.055094021289370555
"Abols, Rodrigo",C,Winterhawks, 2015-16 Regular Season,62,0.2525773195876289,20.21064388550637,False,0.4837705919876769,0.1221894794195679
"Acolatse, Sena",D,Seattle, 2008-09 Regular Season,70,0.0967741935483871,18.30311758578337,False,0.7901193157231909,0.07646315958611526
"Acolatse, Sena",RW,Saskatoon, 2009-10 Regular Season,28,0.1188118811881188,19.2938608781728,False,0.6310059429654484,0.07497100312460774
"Acolatse, Sena",RW,Seattle, 2009-10 Regular Season,35,0.2413793103448276,19.10480130807296,False,0.6613689099234827,0.15964077136084068
"Acolatse, Sena",RW,Prince George, 2010-11 Regular Season,65,0.2638297872340425,20.31193877218616,False,0.467502633186903,0.12334112024505522
"Acolatse, Sena",D,Seattle, 2007-08 Regular Season,70,0.1282051282051282,17.30540044140021,False,0.9503526891111265,0.12184008834758031
"Adam, Austin",D,Moose Jaw, 2014-15 Regular Season,49,0.07432432432432433,19.92170324683286,False,0.5301744585586432,0.03940485840638565
"Adam, Austin",D,Everett, 2012-13 Regular Season,31,0.05,18.02293933781553,False,0.835115942346826,0.0417557971173413
"Adam, Austin",D,Everett, 2011-12 Regular Season,37,0.030612244897959183,17.01262140186649,False,0.9973730028602419,0.03053182661817067
"Adam, Austin",D,Everett, 2013-14 Regular Season,47,0.030075187969924814,18.9853575083194,False,0.6805515841639047,0.020467716816959542
"Adams, Tyler",LW,Broncos,2016-17 Regular Season,25,0.08860759493670886,19.663124697175746,False,0.5717021736335752,0.05065715462575983
"Adams, Tyler",LW,Broncos, 2015-16 Regular Season,72,0.06989247311827956,18.94572310281105,False,0.6869168696885453,0.048010318849199395
"Adams, Tyler",LW,Thunderbirds,2016-17 Regular Season,41,0.05263157894736842,19.9452668193948,False,0.5263901488051954,0.027704744673957653
"Adamson, Austin",RW,Broncos, 2015-16 Regular Season,23,0.06756756756756757,20.11847111688901,False,0.49857353862762555,0.03368740125862335
"Adamson, Austin",RW,Red Deer, 2014-15 Regular Season,18,0.09090909090909093,19.022220266681828,False,0.6746314251708987,0.0613301295609908
"Adamson, Austin",RW,Saskatoon, 2013-14 Regular Season,49,0.036231884057971016,18.110957948487197,False,0.8209801534729562,0.0297456577345274
"Adamson, Austin",RW,Saskatoon, 2014-15 Regular Season,29,0.0641025641025641,18.82357669078732,False,0.7065335834595565,0.04529061432433054
"Adamyk, Braeden",C,Oil Kings, 2007-08 Regular Season,66,0.0684931506849315,18.045035563305227,False,0.8315672885331806,0.05695666359816305
"Addison, Calen",D,Hurricanes,2017-18 Regular Season,68,0.2777777777777778,17.93856708616148,True,0.8486661259624664,0.23574059054512955
"Addison, Calen",D,Hurricanes,2016-17 Regular Season,63,0.13306451612903225,16.940521290096473,True,1.0089522808105067,0.13425574704333354
"Adolph, Max",C,Kelowna, 2010-11 Regular Season,35,0.06382978723404255,18.894006696900306,False,0.6952225244778112,0.044375905817732625
"Adolph, Max",C,Kelowna, 2009-10 Regular Season,54,0.054421768707482984,17.95387023037511,False,0.8462084410017576,0.04605216005451741
"Adrian, Chance",LW,Cougars,2017-18 Regular Season,40,0.026785714285714284,18.258609342829143,True,0.7972673395416399,0.021355375166293922
"Ahl, Filip",LW,Pats,2016-17 Regular Season,54,0.1825095057034221,19.774162853837367,False,0.553869445673719,0.10108643875413885
"Ahlen, Mikael",RW,Medicine Hat, 2007-08 Regular Season,34,0.1,19.925955477733904,False,0.5294915502759352,0.05294915502759352
"Alexander, Jacson",D,Broncos,2017-18 Regular Season,31,0.04,17.120629925255294,False,0.9800268340040001,0.03920107336016001
"Alexander, Mike",D,Everett, 2008-09 Regular Season,64,0.12716763005780346,20.1759113178072,False,0.4893486423601643,0.062229307120945744
"Alexander, Mike",D,Everett, 2007-08 Regular Season,58,0.0375,19.18189771649764,False,0.6489872267304788,0.024337021002392954
"Alexeyev, Alexander",D,Rebels,2016-17 Regular Season,40,0.14615384615384616,17.209857314349467,True,0.9656969153154757,0.14114031839226185
