Player Name,Position,Team,Season,Games Played,Goals Per Team Goals %,Assists Per Team Assists %,Points Per Team Points %,Total Points,Total Team Points,Player Age,Draft Eligibility
"Ward, Michael",D,MAINEiacs, 2007-08 | Regular Season,24,0.015151515151515152,0.09090909090909091,0.10606060606060606,7.0,66.0,18.36324052076715,False
"Reul, Denis",D,MAINEiacs, 2007-08 | Regular Season,22,0.0,0.05,0.05,3.0,60.0,18.486668203908977,False
"Michalik, Tom",D,MAINEiacs, 2007-08 | Regular Season,22,0.0,0.01639344262295082,0.01639344262295082,1.0,61.0,18.982418063223875,False
"Beaton, Alexander",C,MAINEiacs, 2007-08 | Regular Season,24,0.0,0.06060606060606061,0.06060606060606061,4.0,66.0,17.634473400064017,False
"Giliati, Stefano",LW,MAINEiacs, 2007-08 | Regular Season,22,0.23809523809523808,0.23809523809523808,0.47619047619047616,30.0,63.0,20.215595861462084,False
"Chinova, Todd",RW,MAINEiacs, 2007-08 | Regular Season,16,0.05263157894736842,0.10526315789473684,0.15789473684210525,6.0,38.0,18.830130297299196,False
"Bourdeau, Matt",LW,MAINEiacs, 2007-08 | Regular Season,23,0.015384615384615385,0.0,0.015384615384615385,1.0,65.0,18.627850901617574,False
"Bourgeois, Marc",RW,MAINEiacs, 2007-08 | Regular Season,20,0.06896551724137931,0.0,0.06896551724137931,4.0,58.0,17.66826522120907,False
"Lacasse, Billy",C,MAINEiacs, 2007-08 | Regular Season,23,0.015384615384615385,0.06153846153846154,0.07692307692307693,5.0,65.0,17.792234465059664,False
"Daneau, Marc-André",RW,MAINEiacs, 2007-08 | Regular Season,23,0.0967741935483871,0.08064516129032258,0.1774193548387097,11.0,62.0,20.182418171655343,False
"Bundil, Jakub",LW,MAINEiacs, 2007-08 | Regular Season,24,0.030303030303030304,0.10606060606060606,0.13636363636363635,9.0,66.0,19.952281620049366,False
"Taylor, David",C,MAINEiacs, 2007-08 | Regular Season,9,0.11538461538461539,0.11538461538461539,0.23076923076923078,6.0,26.0,18.296885705,False
"Taylor, David",C,Cataractes, 2007-08 | Regular Season,12,0.13043478260869565,0.17391304347826086,0.30434782608695654,7.0,23.0,18.59936456584961,False
"Tutalo, Chris",LW,MAINEiacs, 2007-08 | Regular Season,24,0.07575757575757576,0.10606060606060606,0.18181818181818182,12.0,66.0,20.497487097529834,False
"Therrien, Nicolas",D,MAINEiacs, 2007-08 | Regular Season,8,0.0,0.05555555555555555,0.05555555555555555,1.0,18.0,17.70258989625,False
"Savoie, Dominic",RW,MAINEiacs, 2007-08 | Regular Season,14,0.023255813953488372,0.06976744186046512,0.09302325581395349,4.0,43.0,17.710813757084964,False
"Gélinas, Éric",D,MAINEiacs, 2007-08 | Regular Season,20,0.01818181818181818,0.14545454545454545,0.16363636363636364,9.0,55.0,16.641268139106103,False
"Paquette, Danick",RW,MAINEiacs, 2007-08 | Regular Season,21,0.18333333333333332,0.06666666666666667,0.25,15.0,60.0,17.400475982414513,False
"Cusack, Patrick",D,MAINEiacs, 2007-08 | Regular Season,22,0.03278688524590164,0.09836065573770492,0.13114754098360656,8.0,61.0,18.522568251525584,False
"Sparling, Ryan",LW,Sea Dogs, 2007-08 | Regular Season,17,0.12244897959183673,0.14285714285714285,0.2653061224489796,13.0,49.0,19.375935176076354,False
"Stich, David",D,Sea Dogs, 2007-08 | Regular Season,22,0.0,0.06349206349206349,0.06349206349206349,4.0,63.0,18.62826103665109,False
"Kirkpatrick, Michael",C,Sea Dogs, 2007-08 | Regular Season,22,0.09523809523809523,0.09523809523809523,0.19047619047619047,12.0,63.0,17.56250761028287,False
"Guérette-Charland, Francis",RW,Sea Dogs, 2007-08 | Regular Season,1,0.0,0.0,0.0,0.0,1.0,20.39178082,False
"Stoddard, Matthew",RW,Sea Dogs, 2007-08 | Regular Season,19,0.037037037037037035,0.018518518518518517,0.05555555555555555,3.0,54.0,17.43696157281814,False
"Gauthier, François",RW,Sea Dogs, 2007-08 | Regular Season,22,0.06349206349206349,0.1111111111111111,0.1746031746031746,11.0,63.0,19.84469939153287,False
"Anthony, Steven",C,Sea Dogs, 2007-08 | Regular Season,17,0.0,0.047619047619047616,0.047619047619047616,2.0,42.0,16.621308209734345,False
"Thomas, Mike",RW,Sea Dogs, 2007-08 | Regular Season,21,0.0,0.016129032258064516,0.016129032258064516,1.0,62.0,17.809010297227125,False
"Liske, Payton",LW,Sea Dogs, 2007-08 | Regular Season,19,0.12962962962962962,0.12962962962962962,0.25925925925925924,14.0,54.0,19.0081067221859,False
"Grant, Alex",D,Sea Dogs, 2007-08 | Regular Season,22,0.06349206349206349,0.12698412698412698,0.19047619047619047,12.0,63.0,18.861137749336642,False
"Guérette-Charland, Keven",LW,Sea Dogs, 2007-08 | Regular Season,22,0.06349206349206349,0.12698412698412698,0.19047619047619047,12.0,63.0,18.559767886651052,False
"DiDomenico, Christopher",C,Sea Dogs, 2007-08 | Regular Season,22,0.1111111111111111,0.20634920634920634,0.31746031746031744,20.0,63.0,18.776206240282868,False
"McNeil, Jeff",D,Sea Dogs, 2007-08 | Regular Season,22,0.015873015873015872,0.047619047619047616,0.06349206349206349,4.0,63.0,19.798124049337893,False
"Amyot, Pascal",D,Sea Dogs, 2007-08 | Regular Season,20,0.0,0.06779661016949153,0.06779661016949153,4.0,59.0,17.903986192253875,False
"Gallant, Brett",LW,Sea Dogs, 2007-08 | Regular Season,15,0.023809523809523808,0.023809523809523808,0.047619047619047616,2.0,42.0,18.977552774069824,False
"Sauvé, Yann",D,Sea Dogs, 2007-08 | Regular Season,22,0.031746031746031744,0.1111111111111111,0.14285714285714285,9.0,63.0,17.781685691533486,False
"Després, Simon",D,Sea Dogs, 2007-08 | Regular Season,20,0.018867924528301886,0.03773584905660377,0.05660377358490566,3.0,53.0,16.33391871129797,False
"Leduc, Alexandre",C,Sea Dogs, 2007-08 | Regular Season,21,0.08064516129032258,0.06451612903225806,0.14516129032258066,9.0,62.0,18.902218174135967,False
"Dupont, Keven",D,Océanic, 2007-08 | Regular Season,17,0.0,0.045454545454545456,0.045454545454545456,2.0,44.0,18.676049429979706,False
"Dupont, Keven",D,Tigres, 2007-08 | Regular Season,8,0.0,0.0,0.0,0.0,19.0,19.0325984621875,False
"Fournier, Gleason",D,Océanic, 2007-08 | Regular Season,19,0.038461538461538464,0.038461538461538464,0.07692307692307693,4.0,52.0,16.125699408797757,False
"Cornet, Philippe",C,Océanic, 2007-08 | Regular Season,22,0.09090909090909091,0.10606060606060606,0.19696969696969696,13.0,66.0,17.605360298633606,False
"Fortier, Olivier",C,Océanic, 2007-08 | Regular Season,26,0.11688311688311688,0.11688311688311688,0.23376623376623376,18.0,77.0,18.506027529276743,False
"Leblanc, Louis-Etienne",D,Océanic, 2007-08 | Regular Season,13,0.10810810810810811,0.13513513513513514,0.24324324324324326,9.0,37.0,20.774140494755862,False
"Leblanc, Louis-Etienne",D,Tigres, 2007-08 | Regular Season,10,0.03571428571428571,0.03571428571428571,0.07142857142857142,2.0,28.0,21.128183858632813,False
"Brunet, Alexandre S.",D,Océanic, 2007-08 | Regular Season,27,0.01282051282051282,0.01282051282051282,0.02564102564102564,2.0,78.0,18.19369840317154,False
"Boudreau, Emmanuel",D,Océanic, 2007-08 | Regular Season,25,0.028169014084507043,0.14084507042253522,0.16901408450704225,12.0,71.0,18.215135541965104,False
"Joncas, Pierre-Alexandre",RW,Océanic, 2007-08 | Regular Season,26,0.05194805194805195,0.06493506493506493,0.11688311688311688,9.0,77.0,19.445752555602915,False
"Asselin, Mathieu",RW,Océanic, 2007-08 | Regular Season,21,0.01818181818181818,0.01818181818181818,0.03636363636363636,2.0,55.0,17.504747375711204,False
"Bolduc, François",D,Océanic, 2007-08 | Regular Season,27,0.0,0.07692307692307693,0.07692307692307693,6.0,78.0,20.45945182459734,False
