Player Name,Position,Team,Season,Games Played,Goals Per Team Goals %,Assists Per Team Assists %,Points Per Team Points %,Total Points,Total Team Points,Player Age,Draft Eligibility
"Wuchterl, Mike",LW,Vancouver, 2007-08 Regular Season,7,0.038461538461538464,0.07692307692307693,0.11538461538461539,3.0,26.0,19.835059931506848,False
"Wuchterl, Mike",LW,Lethbridge, 2007-08 Regular Season,61,0.057971014492753624,0.04830917874396135,0.10628019323671498,22.0,207.0,20.275108443594945,False
"Gauthier, Mike",D,Prince Albert, 2007-08 Regular Season,13,0.04,0.2,0.24,6.0,25.0,20.57628692208904,False
"Gauthier, Mike",D,Kamloops, 2007-08 Regular Season,58,0.0125,0.04375,0.05625,9.0,160.0,20.98521089589428,False
"Flatters, John",D,Prince Albert, 2007-08 Regular Season,6,0.0,0.0,0.0,0.0,14.0,20.308561643835617,False
"Flatters, John",D,Saskatoon, 2007-08 Regular Season,59,0.020134228187919462,0.026845637583892617,0.04697986577181208,7.0,149.0,20.753946077520645,False
"Tendler, Blaine",D,Prince Albert, 2007-08 Regular Season,46,0.007874015748031496,0.11023622047244094,0.11811023622047244,15.0,127.0,17.912757901745415,False
"Voracek, Tomas",D,Prince Albert, 2007-08 Regular Season,64,0.022988505747126436,0.04597701149425287,0.06896551724137931,12.0,174.0,18.05278966366644,False
"Trach, Jordan",LW,Prince Albert, 2007-08 Regular Season,46,0.04918032786885246,0.01639344262295082,0.06557377049180328,8.0,122.0,17.782538456322015,False
"Lamb, Bryce",C,Prince Albert, 2007-08 Regular Season,28,0.06944444444444445,0.08333333333333333,0.1527777777777778,11.0,72.0,18.419875783871298,False
"Deck, Nathan",D,Prince Albert, 2007-08 Regular Season,68,0.029239766081871343,0.11695906432748537,0.14619883040935672,25.0,171.0,17.97876529734529,False
"Robertson, Matt",LW,Prince Albert, 2007-08 Regular Season,71,0.1443850267379679,0.1711229946524064,0.3155080213903743,59.0,187.0,20.11032391024179,False
