Player Name,Games Played,Points Per Team Points %,Player Age,Draft Eligibility,Vollman Modifier,Adjusted Point %,"('Position', 'first')","('Adjusted Point %', 'std')","('Season', 'count')"
"Jeffrey, Dustin",56.0,0.4641148325358852,20.054056938435494,False,0.5089184556872599,0.23619660383571395,C,,1
"Brown, Logan",36.0,0.34900977812794576,18.77561871822976,True,0.7142356338523006,0.23614789689634857,C,0.029199198744470557,5
"Domi, Max",59.0,0.3300336261663319,18.5258172390903,False,0.754353751402098,0.23535470618238552,LW,0.0327225339769427,4
"Werek, Ethan",54.666666666666664,0.32745541211363377,18.775255536452903,False,0.7142939608456639,0.2347596726239396,C,0.05762340082569188,3
"Simmonds, Wayne",30.0,0.3798154093097914,19.415219571857314,False,0.611515736759715,0.2336035029029409,RW,0.06282502227403906,2
"Fabbri, Robby",47.333333333333336,0.3080759928844117,18.144141121265946,False,0.8156509359246891,0.23336204851606368,C,0.08610063154169366,3
"DeAngelo, Anthony",45.4,0.30864353684108675,18.15485002863873,False,0.8139310854006201,0.23243356808487828,D,0.08504810847274225,5
"Tippett, Owen",53.0,0.2960404247168953,17.987958609536914,True,0.840733847308372,0.23181547937646219,RW,0.08517616650733419,3
"Thomas, Robert",38.75,0.28780071946548375,17.82215805121276,True,0.8673614169752311,0.2316536950191731,C,0.1097134247307288,4
"Cousins, Nick",64.75,0.30872575283680537,18.164091012435293,False,0.8124469834028923,0.2310068503377769,C,0.06268847360917311,4
"Saad, Brandon",49.5,0.3401985111662531,18.896709086754626,False,0.6947885206672075,0.23089049878212137,LW,0.028700214898175567,2
"O'Dell, Eric",48.0,0.34755347265108805,19.2428821190205,False,0.6391931316853081,0.23053111382908886,C,0.1191783520275492,4
"Azevedo, Justin",67.0,0.4397163120567376,19.96399328765323,False,0.5233826780028914,0.2301399009658104,C,,1
"Trocheck, Vincent",50.4,0.31952187969321116,18.43817883970697,False,0.768428478343061,0.2298087013615741,C,0.026839234694490417,5
"Bracco, Jeremy",35.333333333333336,0.3868021292022565,19.5146645990738,False,0.5955448653887476,0.22954818767941373,RW,0.06189627316357595,3
"Strome, Ryan",44.2,0.2959907466699462,17.842070882379726,False,0.8641634162898161,0.22937752351608448,C,0.10392714181806204,5
"Sokolov, Dmitry",48.75,0.3501956743978021,19.086973371996237,True,0.6642320764574046,0.22823377715588336,RW,0.03402896744232471,4
"DiBenedetto, Justin",60.0,0.44850787895690974,20.06280598531984,False,0.5075133587576337,0.22666924143065248,LW,0.042394205896796155,2
"Zacha, Pavel",43.0,0.2941388676682794,18.34863712079821,False,0.782808878399808,0.22652122718169626,LW,0.020976212231133724,2
"Grachev, Evgeny",60.0,0.3389830508474576,19.068168956237805,False,0.6672520656282086,0.22618714089091815,LW,,1
"Boedker, Mikkel",62.0,0.2829457364341085,18.254404246346397,False,0.7979426780367689,0.2257744786693183,RW,,1
"Levin, David",52.333333333333336,0.2416213290302471,17.443416953455557,True,0.9281872372750376,0.22438496234741281,LW,0.045161624244634366,3
"Sgarbossa, Michael",42.5,0.2838513203280025,18.04130661827994,False,0.8321661571042419,0.22327096018832682,C,0.04885538031811249,6
"Doughty, Drew",58.0,0.2793296089385475,18.274996588729,False,0.794635547850123,0.22196523682964334,D,,1
"Couture, Logan",56.5,0.36548826886493346,19.472777551422062,False,0.6022719252416171,0.22140972785608562,C,0.055028073017439325,2
"Martschini, Lino",59.5,0.2971452353793508,18.661728137164893,False,0.7325264611713187,0.21892420424741413,RW,0.049879408011155014,2
"Ellis, Ryan",55.25,0.31324380939805835,18.69926382098207,False,0.7264982303502803,0.21782008534460304,D,0.03814771524694194,4
"McKegg, Greg",50.6,0.309533536084169,18.508966517595407,False,0.7570599772741772,0.21718313839288053,C,0.08173416123382388,5
"Beck, Taylor",59.25,0.3031433875010807,18.346588975042373,False,0.7831378106081949,0.21677657582864487,LW,0.06839593949361879,4
"MacKinnon, Chris",46.5,0.3524573642888583,19.366844112355345,False,0.6192848355557321,0.21573518654085824,LW,0.060607195916192416,4
"Latta, Michael",46.4,0.27704765530131653,18.153083817811414,False,0.8142147388594874,0.21542837370546758,C,0.025136040366847686,5
"Salituro, Dante",57.6,0.273493697118069,18.31769497078336,False,0.7877781876921923,0.2154175173342338,RW,0.07702060959589517,5
"Bitten, Will",63.25,0.27008495021041945,18.168883126912448,True,0.8116773698178614,0.21518218830754166,RW,0.07685714633043124,4
"Dunkley, Nathan",39.0,0.24117724867724866,17.636900882688636,True,0.8971137182402052,0.21512768060538714,LW,0.03616425676398568,3
"McLeod, Michael",52.75,0.2993003699230106,18.568015038977972,True,0.7475767847401378,0.2149518674636812,C,0.06496785214253287,4
"Mangiapane, Andrew",62.0,0.32386463055754394,18.89216923036077,False,0.6955176216040603,0.21476274245654878,LW,0.0414734177843403,3
"Staal, Jared",60.0,0.2849203870575829,18.572123610232488,False,0.7469169481966623,0.21433132758260273,RW,0.06622313924326409,3
"McGinn, Jamie",51.0,0.3670886075949367,19.59819209446121,False,0.5821303496295296,0.2136934194842577,LW,,1
"Chychrun, Jakob",50.5,0.22324810606060608,17.35762840947242,True,0.9419648774387297,0.21116775357922268,D,0.03967523080343442,2
"Rychel, Kerby",41.666666666666664,0.2717369757277581,17.855895594899764,False,0.8619431674590986,0.21070515051136754,LW,0.10689794780750794,6
"Watson, Spencer",53.0,0.32056722059986553,18.886646251523718,False,0.6964046120052914,0.21041730215196724,RW,0.045854016127404834,5
"Gaunce, Brendan",50.4,0.2948827496708988,18.711655103518602,False,0.7245081903749127,0.21006507513787223,C,0.06378870877698717,5
"Burakovsky, Andre",54.0,0.31153846153846154,19.046498634428342,False,0.6707323193108086,0.20895891486221344,LW,,1
"Kyrou, Jordan",61.25,0.2909065033381974,18.34385283716102,True,0.7835772343519402,0.20790120117378874,RW,0.04957253608759176,4
"Chmelevski, Sasha",51.333333333333336,0.24511450405945823,17.68193707705502,True,0.8898809054249641,0.20744250944840603,C,0.033021104124631065,3
"Thomas, Christian",47.4,0.2677836583446279,17.969835346969443,False,0.8436444432767074,0.20727772498153735,RW,0.08427499950673947,5
"McCann, Jared",59.333333333333336,0.24427043889069208,17.794064614349868,False,0.871873222935411,0.2072207148622859,C,0.01756562137490665,3
"Hartman, Ryan",51.0,0.3114130434782608,18.979661644552724,False,0.6814663398848326,0.20703984652985608,RW,0.02542064520898659,2
"Landeskog, Gabriel",55.0,0.2447164179104478,17.817750664644855,False,0.8680692432580361,0.2068294923142413,RW,0.05614846605343811,2
"Dellandrea, Ty",62.0,0.22025401069518716,17.162335762202822,True,0.9733288765902268,0.2067518257384569,C,0.10617342656901024,2
"Del Zotto, Michael",42.0,0.2648853118428544,18.336189939843276,False,0.7848078956611705,0.20656491669994637,D,0.016647831474560806,3
"Maroon, Patrick",64.0,0.3862660944206008,19.902691052164407,False,0.5332278170223965,0.20596782631766386,LW,,1
"Strome, Matthew",64.0,0.25704241878103495,18.163444467282982,True,0.8125508185543536,0.2047513338339728,LW,0.017707503255921228,3
"McShane, Allan",42.666666666666664,0.220266465354524,17.364451797772485,True,0.9408690412777388,0.2044058296205807,C,0.02506866643903882,3
"Emmerton, Cory",27.0,0.35073891625615766,19.64397694889507,False,0.574777302007452,0.20376632114806303,LW,0.08656119840245809,2
"Richard, Tanner",46.5,0.3339178873530019,19.447423015027855,False,0.6063438637865266,0.2032462727659003,LW,0.04648371036632021,2
"Namestnikov, Vladislav",63.0,0.2860487745545217,18.826953724763605,False,0.7059912318029651,0.20310247665598558,C,0.04675697217401411,2
"Crouse, Lawson",53.333333333333336,0.24295479791506458,17.71559867722658,False,0.8844748524374116,0.202762942498831,LW,0.08803333125402346,3
"Telegin, Ivan",49.666666666666664,0.3134321518936904,19.053542432713694,False,0.6696010853061809,0.20270875145845543,C,0.007729329121256342,3
"Jenkins, Blade",67.0,0.22395833333333331,17.60095395486795,True,0.9028867948482073,0.20220902176287975,C,,1
"Palmu, Petrus",58.666666666666664,0.28418744099298143,18.613937057819903,False,0.7402017085141234,0.2011028426975079,RW,0.019879862817734958,3
"Labanc, Kevin",63.0,0.33453073794144866,19.20428992196617,False,0.6453910385322338,0.20062363270921302,RW,0.06983097064699825,3
"Kaliyev, Arthur",68.0,0.192,16.72744528437719,False,1.0431722873290235,0.2002890791671725,RW,,1
"Hronek, Filip",59.0,0.32432432432432434,19.3815856130247,False,0.616917350548233,0.20008130288050802,D,,1
"Moon, Nathan",63.25,0.3475024730054036,19.700761250684852,False,0.565657743140013,0.19969080208089618,C,0.08316647228615216,4
"Boucher, Reid",66.5,0.3069698780995852,19.028470046800425,False,0.6736277104838517,0.1995356819793997,LW,0.051474641612842036,2
"Smith-Pelly, Devante",59.666666666666664,0.2331939769751795,17.75810335417678,False,0.8776486013192097,0.1991964687515643,LW,0.07989761703033299,3
"Raddysh, Taylor",47.8,0.29663177554982273,18.74795981743743,True,0.7186776533195486,0.19703058220641573,RW,0.0692043294299248,5
"Marcinko, Tomas",48.0,0.371900826446281,19.93316061214739,False,0.5283344056891295,0.19648800211579195,C,,1
"Holland, Peter",61.75,0.2904611442436493,18.674235572541928,False,0.7305177670497667,0.19601129364750391,C,0.06094543300253332,4
"D'Amigo, Jerry",21.0,0.3888888888888889,20.086949486928447,False,0.5036359123992917,0.19585841037750235,LW,,1
"Quine, Alan",40.333333333333336,0.2865746501116009,18.63457875489396,False,0.7368866519640301,0.19548000223253958,C,0.03987819456717711,6
"Murphy , Ryan",55.5,0.26487995511210805,18.46347062074303,False,0.7643666183086693,0.19546186211925232,D,0.06006892857695377,4
"Carlson, John",59.0,0.30039525691699603,19.1739543602818,False,0.650262929738743,0.19533589984246824,RD,,1
"Lodnia, Ivan",63.333333333333336,0.21785937915403983,17.39970382542329,True,0.9352075656370196,0.1952522223117806,RW,0.03081620503111675,3
"Baptiste, Nicholas",56.0,0.25348898433962785,18.119518736121808,False,0.8196052909788379,0.19523892651162417,RW,0.07228370341191662,4
"Tangradi, Eric",55.5,0.34329377614616235,19.583195456756503,False,0.584538809644906,0.1950662648384459,LW,0.02147422283863652,2
"Jensen, Nicklas",58.0,0.26240890688259105,18.543187024972408,False,0.7515641637894315,0.19500808212176268,RW,0.0003860589733628414,2
"Sergachev, Mikhail",58.5,0.2448317650413459,18.237132307317545,True,0.8007165514448027,0.19454333380048766,D,0.006705790077505832,2
"McDonough, Ryan",66.0,0.4009009009009009,20.21204238640561,False,0.48354599274325905,0.19385402411779304,C,,1
"Laughton, Scott",55.75,0.274020561924371,18.300090166950177,False,0.790605519187802,0.19371953586566928,C,0.06930780979089834,4
"Loktionov, Andrei",51.0,0.2716049382716049,18.794493457677916,False,0.711204350696927,0.19316661376953573,C,,1
"Beleskey, Matt",62.0,0.3488372093023256,19.77650989691612,False,0.5534925105552713,0.19307878275183882,LW,,1
"Lusnak, Patrik",45.5,0.3382949510079261,19.74495535988498,False,0.5585601692024724,0.1928344616304833,LW,0.07922352970127393,2
"Tolchinsky, Sergey",61.333333333333336,0.29967052986756865,19.117039283339917,False,0.6594034910956097,0.19257215661196322,LW,0.04363761672705049,3
"Kahun, Dominik",48.0,0.23858068594910703,18.20098386148959,False,0.8065219918447719,0.19205696552124477,LW,0.02099400559712843,2
"Keating, Austen",60.666666666666664,0.2335432863166975,18.012951873883324,True,0.836719929054338,0.19178485028173356,C,0.04194858174989487,3
"Pearson, Tanner",61.5,0.30439814814814814,19.11052936610191,False,0.6604489838040333,0.19168940787919225,LW,0.07475268429410716,2
"Catenacci, Daniel",64.75,0.2734168811463479,18.52622453714192,False,0.7542883393350079,0.1915889297833059,C,0.057404455778378646,4
"Locke, Eric",36.833333333333336,0.26110007201675933,18.424102546779114,False,0.7706891309872747,0.19150981247481338,C,0.04533662251898627,6
"Dvorak, Christian",52.0,0.3025899618784696,18.909402083910365,False,0.6927500253239957,0.1913013638714396,C,0.09776431225902188,3
"McFarland, John",35.166666666666664,0.2601806322637605,18.681695379443404,False,0.7293197220613893,0.1912615784830222,C,0.06337108791810594,6
"Matthias, Shawn",53.0,0.3761904761904762,20.07544542515013,False,0.5054834647208897,0.19015806529976326,C,,1
"Ratcliffe, Isaac",59.666666666666664,0.23671879773723495,18.005735888263132,True,0.8378788163449412,0.18867314710300243,LW,0.038118557124092546,3
"Frost, Morgan",66.0,0.2323336034870471,17.802401962006357,True,0.8705342449017791,0.18841409674705203,C,0.06520957330438873,3
"Studnicka, Jack",64.0,0.2356321174076967,18.019659571620732,True,0.8356426727977104,0.18837319769170743,C,0.026320605539650908,3
"MacInnis, Ryan",61.333333333333336,0.2904568504623574,19.014881845621463,False,0.675809975593193,0.18787262502346988,C,0.02021936791568015,3
"Varone, Phil",42.0,0.2529245490163995,18.404955535287478,False,0.7737641410328314,0.18713532736438032,C,0.05631282042075681,5
"Commisso, Domenic",67.0,0.25,18.48743771303815,True,0.7605175032860729,0.18712846181029402,C,0.0003410236169695185,2
"Halischuk, Matt",40.0,0.33714285714285713,19.783020591814502,False,0.5524468929545914,0.1862535239104051,RW,,1
"Hamilton, Freddie",62.75,0.2709722116013571,18.71194262485321,False,0.724462014448574,0.18616795478032688,LW,0.04983881586382118,4
"Spaling, Nick",56.0,0.3103448275862069,19.49550013402457,False,0.5986226784756541,0.18577945194072024,LW,,1
