Player Name,Position,Team,Season,Games Played,Goals Per Team Goals %,Assists Per Team Assists %,Points Per Team Points %,Total Points,Total Team Points,Player Age
"Ross, Liam",D,Wolves, 2017-18 Regular Season,59,0.023809524,0.029761905,0.053571429,9,168,16.84864321
"Stevens, Liam",LW,Storm, 2017-18 Regular Season,4,0.071428571,0,0.071428571,1,14,18.44657534
"Poirier, Zach",RW,Storm, 2017-18 Regular Season,54,0.047619048,0.053571429,0.101190476,17,168,19.85528422
"Gross, Nico",D,Generals, 2017-18 Regular Season,57,0.020512821,0.046153846,0.066666667,13,195,18.14163773
"Machala, Ondrej",LW,IceDogs, 2017-18 Regular Season,17,0.019230769,0.057692308,0.076923077,4,52,18.83391097
"Rollo, Tyler",LW,Knights, 2017-18 Regular Season,58,0.043478261,0.086956522,0.130434783,27,207,20.63723834
"Brown, Aidan",RW,Colts, 2017-18 Regular Season,57,0.02892562,0.041322314,0.070247934,17,242,18.46290721
"Kislinger, Max",LW,Firebirds, 2017-18 Regular Season,58,0.049382716,0.055555556,0.104938272,17,162,20.10170304
"Fraser, Cole",D,Petes, 2017-18 Regular Season,50,0.01910828,0.050955414,0.070063694,11,157,18.57401585
"Guy, Brayden",LW,Sting, 2017-18 Regular Season,41,0.046511628,0.005813953,0.052325581,9,172,17.04228432
"Schlichting, Connor",D,Sting, 2017-18 Regular Season,66,0.020761246,0.114186851,0.134948097,39,289,20.83619327
"Badalamenti, Ben",RW,Spirit, 2017-18 Regular Season,34,0.041666667,0.020833333,0.0625,6,96,18.1007494
"Field, Sam",RW,Frontenacs, 2017-18 Regular Season,14,0.1,0,0.1,5,50,20.02963098
"Yule, Quinn",LW,67's, 2017-18 Regular Season,59,0.031413613,0.031413613,0.062827225,12,191,18.19734896
"Henderson, Jake",RW,Rangers, 2017-18 Regular Season,40,0.040816327,0.095238095,0.136054422,20,147,20.90737088
"Martin, Ian",RW,IceDogs, 2017-18 Regular Season,24,0.025641026,0.025641026,0.051282051,4,78,17.09837168
"Lyle, Brady",D,Battalion, 2017-18 Regular Season,9,0.064516129,0,0.064516129,2,31,18.36746575
"Forhan, Rhys",C,Battalion, 2017-18 Regular Season,37,0.00877193,0.052631579,0.061403509,7,114,18.16575565
"Wainman, Josh",D,Otters, 2017-18 Regular Season,67,0.018691589,0.056074766,0.074766355,16,214,19.07562646
"Canade, Nicholas",LW,Steelheads, 2017-18 Regular Season,63,0.025423729,0.033898305,0.059322034,14,236,18.03663932
"Kammerer, Colton",D,Sting, 2017-18 Regular Season,39,0.005617978,0.039325843,0.04494382,8,178,16.38497085
"Littlejohn, Ryan",LW,Firebirds, 2017-18 Regular Season,65,0.016304348,0.043478261,0.059782609,11,184,18.0999907
"Phibbs, Jack",LW,Firebirds, 2017-18 Regular Season,55,0.01986755,0.052980132,0.072847682,11,151,19.0405612
"Paquette, Jacob",D,Frontenacs, 2017-18 Regular Season,63,0.01843318,0.050691244,0.069124424,15,217,18.81862883
"Kohn, Mason",C,Generals, 2017-18 Regular Season,10,0.02173913,0.086956522,0.108695652,5,46,20.49033069
"Chibrikov, Igor",D,Attack, 2017-18 Regular Season,41,0.006097561,0.036585366,0.042682927,7,164,16.28297497
"Henderson, Eric",LW,Generals, 2017-18 Regular Season,65,0.025316456,0.063291139,0.088607595,21,237,19.90328158
"Stevenson, Keegan",C,Storm, 2017-18 Regular Season,61,0.024271845,0.024271845,0.048543689,10,206,17.21418833
"Bignell, Luke",C,Colts, 2017-18 Regular Season,56,0.029045643,0.020746888,0.049792531,12,241,17.37327436
"Osmanski, Austin",D,Petes, 2017-18 Regular Season,60,0.005128205,0.082051282,0.087179487,17,195,19.8891301
"Campbell, Chase",RW,Attack, 2017-18 Regular Season,57,0.0125,0.070833333,0.083333333,20,240,19.73531871
"Hotchkiss, Matt",LW,Frontenacs, 2017-18 Regular Season,49,0.070175439,0.023391813,0.093567251,16,171,20.11725896
"Henderson, Jake",RW,Battalion, 2017-18 Regular Season,27,0.086419753,0.049382716,0.135802469,11,81,21.09452598
"Friend, Jacob",D,Attack, 2017-18 Regular Season,61,0.01119403,0.100746269,0.111940299,30,268,20.64421116
"Wilson, Hudson",D,67's, 2017-18 Regular Season,65,0.009478673,0.056872038,0.066350711,14,211,18.87697069
"Egert, Curtis",LW,Sting, 2017-18 Regular Season,35,0.027586207,0.04137931,0.068965517,10,145,19.05912628
"Perrott, Andrew",D,Knights, 2017-18 Regular Season,61,0.019138756,0.023923445,0.043062201,9,209,16.56600546
"Hough, Cameron",LW,Sting, 2017-18 Regular Season,16,0.032258065,0.016129032,0.048387097,3,62,17.30779544
"Nelson, Josh",C,Knights, 2017-18 Regular Season,64,0.032407407,0.032407407,0.064814815,14,216,18.81258076
"Nichol, Ted",C,Frontenacs, 2017-18 Regular Season,68,0.029166667,0.1125,0.141666667,34,240,21.20766992
"Cascagnette, Jacob",LW,67's, 2017-18 Regular Season,30,0.054545455,0.072727273,0.127272727,14,110,20.9920392
"Calvas, Theo",D,Sting, 2017-18 Regular Season,67,0.010238908,0.068259386,0.078498294,23,293,19.6194665
"Golden, Jacob",D,Knights, 2017-18 Regular Season,62,0.00952381,0.057142857,0.066666667,14,210,18.99888217
"Turko, Alex",C,Knights, 2017-18 Regular Season,53,0.01744186,0.052325581,0.069767442,12,172,19.19614242
"O'Grady, Reagan",D,Steelheads, 2017-18 Regular Season,28,0.008849558,0.061946903,0.07079646,8,113,19.26403659
"Woolley, Mark",D,Storm, 2017-18 Regular Season,66,0.009009009,0.031531532,0.040540541,9,222,16.31007874
"Hill, Brock",D,Spirit, 2017-18 Regular Season,22,0,0.064935065,0.064935065,5,77,18.92458574
"Henderson, Braden",D,Battalion, 2017-18 Regular Season,26,0,0.050632911,0.050632911,4,79,17.84245805
"Osmanski, Austin",D,Steelheads, 2017-18 Regular Season,5,0,0.071428571,0.071428571,1,14,19.43818493
"Mattinen, Nicolas",D,Bulldogs, 2017-18 Regular Season,26,0.031578947,0.052631579,0.084210526,8,95,20.03973619
"Burnell, Owen",LW,Bulldogs, 2017-18 Regular Season,29,0.011764706,0.058823529,0.070588235,6,85,19.46509978
"Varga, Adam",RW,Steelheads, 2017-18 Regular Season,46,0.005882353,0.035294118,0.041176471,7,170,16.7845775
"Kozhevnikov, Kirill",LW,Spitfires, 2017-18 Regular Season,33,0.035087719,0.026315789,0.061403509,7,114,18.93403028
"DeMeo, Anthony",D,Greyhounds, 2017-18 Regular Season,66,0.003267974,0.055555556,0.058823529,18,306,18.74927978
"Lemcke, Justin",D,Bulldogs, 2017-18 Regular Season,59,0.04245283,0.080188679,0.122641509,26,212,21.08776728
"Serensits, Emmett",D,Wolves, 2017-18 Regular Season,61,0.011494253,0.040229885,0.051724138,9,174,18.19043711
"Duhart, Dalton",C,Knights, 2017-18 Regular Season,35,0.025641026,0.017094017,0.042735043,5,117,17.15212527
"Henry, Kurtis",D,Otters, 2017-18 Regular Season,44,0.006993007,0.041958042,0.048951049,7,143,17.92768122
"Doherty, Jackson",LW,Attack, 2017-18 Regular Season,53,0.031818182,0.013636364,0.045454545,10,220,17.57052751
"Shankar, Zach",D,Spitfires, 2017-18 Regular Season,28,0,0.120481928,0.120481928,10,83,21.13806452
"Duff, Jack",D,Otters, 2017-18 Regular Season,63,0.004950495,0.044554455,0.04950495,10,202,18.15233879
"York, Jack",D,Rangers, 2017-18 Regular Season,57,0.014492754,0.028985507,0.043478261,9,207,17.49845397
"Ennis, William",D,Generals, 2017-18 Regular Season,66,0.004166667,0.041666667,0.045833333,11,240,17.79643226
"Bruce, Riley",D,Battalion, 2017-18 Regular Season,66,0.024271845,0.072815534,0.097087379,20,206,20.67260817
"Fergus, TJ",D,Bulldogs, 2017-18 Regular Season,16,0.023809524,0.071428571,0.095238095,4,42,20.63908691
"Robinson, Cade",RW,Attack, 2017-18 Regular Season,27,0.016949153,0.033898305,0.050847458,6,118,18.39610639
"Larabie, Paul",C,Frontenacs, 2017-18 Regular Season,51,0,0.04787234,0.04787234,9,188,18.14001289
"Heitzner, Kyle",C,Colts, 2017-18 Regular Season,58,0.020491803,0.032786885,0.053278689,13,244,18.67469941
"Yantsis, Jonathan",RW,Rangers, 2017-18 Regular Season,58,0.023148148,0.032407407,0.055555556,12,216,18.89097359
"McEneny, Austin",D,Rangers, 2017-18 Regular Season,25,0.045977011,0.057471264,0.103448276,9,87,20.9402843
"Saban, Jesse",D,Battalion, 2017-18 Regular Season,67,0.014354067,0.100478469,0.114832536,24,209,21.17397803
"Timmermans, Aidan",D,Otters, 2017-18 Regular Season,38,0.00877193,0.035087719,0.043859649,5,114,17.89204911
"Siau, Levi",C,Wolves, 2017-18 Regular Season,9,0,0.037037037,0.037037037,1,27,16.91420163
"LeGuerrier, Jacob",D,Greyhounds, 2017-18 Regular Season,61,0,0.039426523,0.039426523,11,279,17.30195286
"Pringle, Justin",LW,Frontenacs, 2017-18 Regular Season,25,0.032967033,0.010989011,0.043956044,4,91,18.03232742
"Hunter, Drew",D,IceDogs, 2017-18 Regular Season,51,0.022222222,0.033333333,0.055555556,10,180,19.1165219
"Gretz, Marcus",D,Firebirds, 2017-18 Regular Season,45,0.008130081,0.024390244,0.032520325,4,123,16.32122776
"Bourque, Trenton",D,Attack, 2017-18 Regular Season,62,0,0.064638783,0.064638783,17,263,19.77304432
"Moro, Marino",LW,Attack, 2017-18 Regular Season,37,0.007246377,0.036231884,0.043478261,6,138,18.0991232
