Player Name,Position,Team,Season,Games Played,Goals Per Team Goals %,Assists Per Team Assists %,Points Per Team Points %,Total Points,Total Team Points,Player Age,Draft Eligibility
"Ogilvie, Jordan",D,Saginaw, 2007-08 Regular Season,49,0.0,0.012195121951219513,0.012195121951219513,2.0,164.0,19.034225876317272,False
"Crawford, Nick",D,Saginaw, 2007-08 Regular Season,68,0.017467248908296942,0.06986899563318777,0.08733624454148471,20.0,229.0,18.066836906953554,False
"Breen, Christopher",D,Saginaw, 2007-08 Regular Season,55,0.0,0.031914893617021274,0.031914893617021274,6.0,188.0,18.71651107635432,False
"Williams, Nigel",D,Saginaw, 2007-08 Regular Season,29,0.050505050505050504,0.1919191919191919,0.24242424242424243,24.0,99.0,19.649091555372085,False
"Williams, Nigel",D,Belleville, 2007-08 Regular Season,38,0.062111801242236024,0.07453416149068323,0.13664596273291926,22.0,161.0,19.91380175084913,False
"Zaborsky, Tomas",LW,Saginaw, 2007-08 Regular Season,68,0.13537117903930132,0.1703056768558952,0.3056768558951965,70.0,229.0,20.346288961748073,False
"Murovich, Tyler",C,Saginaw, 2007-08 Regular Season,68,0.08296943231441048,0.08296943231441048,0.16593886462882096,38.0,229.0,18.288754715172733,False
"Mursak, Jan",C,Saginaw, 2007-08 Regular Season,26,0.06315789473684211,0.21052631578947367,0.2736842105263158,26.0,95.0,19.872184497771197,False
"Mursak, Jan",C,Belleville, 2007-08 Regular Season,31,0.08148148148148149,0.2,0.2814814814814815,38.0,135.0,20.135896506755014,False
"Sol, Cody",D,Saginaw, 2007-08 Regular Season,12,0.0,0.0,0.0,0.0,39.0,16.961487318065068,False
"Szwarz, Jordan",RW,Saginaw, 2007-08 Regular Season,65,0.05504587155963303,0.0963302752293578,0.15137614678899083,33.0,218.0,16.847658824506937,False
"Clouthier, Andrew",LW,Saginaw, 2007-08 Regular Season,4,0.0,0.0,0.0,0.0,19.0,17.41267123287671,False
"Clouthier, Andrew",LW,Barrie, 2007-08 Regular Season,55,0.035211267605633804,0.014084507042253521,0.04929577464788732,7.0,142.0,17.872314376069664,False
"Pachis, Daniel",C,Saginaw, 2007-08 Regular Season,59,0.005050505050505051,0.025252525252525252,0.030303030303030304,6.0,198.0,16.7764324145541,False
"Craig, Tom",RW,Saginaw, 2007-08 Regular Season,4,0.0,0.05263157894736842,0.05263157894736842,1.0,19.0,18.563356164383563,False
"Allicock, Kain",LW,Saginaw, 2007-08 Regular Season,41,0.006802721088435374,0.006802721088435374,0.013605442176870748,2.0,147.0,17.952758200357525,False
"Chappell, Chris",LW,Saginaw, 2007-08 Regular Season,54,0.08235294117647059,0.11764705882352941,0.2,34.0,170.0,19.995604030241225,False
"Combs, Jack",C,Saginaw, 2007-08 Regular Season,67,0.18502202643171806,0.2555066079295154,0.44052863436123346,100.0,227.0,20.146288961589192,False
"Asselin, Patrick",LW,Saginaw, 2007-08 Regular Season,15,0.16363636363636364,0.10909090909090909,0.2727272727272727,15.0,55.0,20.355341161440496,False
"Asselin, Patrick",LW,Oshawa, 2007-08 Regular Season,48,0.16,0.155,0.315,63.0,200.0,20.714750831870482,False
"Brodie, T.J.",D,Saginaw, 2007-08 Regular Season,68,0.017467248908296942,0.11353711790393013,0.13100436681222707,30.0,229.0,17.781905400104236,False
"McDonough, Ryan",C,Saginaw, 2007-08 Regular Season,66,0.20270270270270271,0.1981981981981982,0.4009009009009009,89.0,222.0,20.212042386405606,False
"Quesnele, Michael",D,Sault Ste. Marie, 2007-08 Regular Season,68,0.02040816326530612,0.09795918367346938,0.11836734693877551,29.0,245.0,19.160906253650715,False
"Muzzin, Jacob",D,Sault Ste. Marie, 2007-08 Regular Season,67,0.025210084033613446,0.05042016806722689,0.07563025210084033,18.0,238.0,19.067755568719207,False
"Godfrey, Josh",D,Sault Ste. Marie, 2007-08 Regular Season,60,0.07727272727272727,0.15454545454545454,0.2318181818181818,51.0,220.0,20.171865157210952,False
"Cuthbert, Tyler",D,Sault Ste. Marie, 2007-08 Regular Season,68,0.012244897959183673,0.04897959183673469,0.061224489795918366,15.0,245.0,20.870495294746604,False
"Jones, Sean",LW,Sault Ste. Marie, 2007-08 Regular Season,21,0.023529411764705882,0.023529411764705882,0.047058823529411764,4.0,85.0,17.4978726008167,False
"Jones, Sean",LW,Erie, 2007-08 Regular Season,45,0.08163265306122448,0.1292517006802721,0.2108843537414966,31.0,147.0,17.836790470322743,False
"Lyall, Matthew",C,Sault Ste. Marie, 2007-08 Regular Season,67,0.08713692946058091,0.14937759336099585,0.23651452282157676,57.0,241.0,20.10611173297798,False
"Livingston, James",RW,Sault Ste. Marie, 2007-08 Regular Season,68,0.08571428571428572,0.09387755102040816,0.17959183673469387,44.0,245.0,18.02665967830825,False
