position,number,name,birthday,goals,assists,+/-,shots,pims,fow,game ID,game date,team,game number,team goals,team assists,team shots,team pims,player age
D,3,"Hill, Mathew *",2001-05-01 00:00:00,0,1,+5,1,0,0/0,22381,2017-09-21 19:30:00,Colts,11,18,37,15,16.4027397260274
D,4,"Keane, Joey",1999-07-02 00:00:00,0,1,+2,1,0,0/0,22381,2017-09-21 19:30:00,Colts,11,18,37,15,18.235616438356164
