"Corbeil, Pascal",D,Armada, 2017-18 | Regular Season,11,0.029411765,0.352941176,0.382352941,13,34,19.98942637,0.519698125,0.198708107
"Grégoire, Thomas",D,Phoenix, 2017-18 | Regular Season,19,0.055555556,0.277777778,0.333333333,18,54,19.51472534,0.595935111,0.198645037
"Kalmikov, Brooklyn",LW,Screaming Eagles, 2017-18 | Regular Season,46,0.093023256,0.093023256,0.186046512,32,172,16.61170083,1.062160847,0.19761132
"Nadeau, Mathieu",RW,Foreurs, 2017-18 | Regular Season,7,0.133333333,0.4,0.533333333,8,15,20.91994863,0.37025625,0.19747
"Bibeau, Félix",C,Huskies, 2017-18 | Regular Season,43,0.116883117,0.168831169,0.285714286,44,154,18.94955431,0.686701579,0.196200451
"Morin, Anthony",C,Armada, 2017-18 | Regular Season,1,0.25,0,0.25,1,4,18.35068493,0.78288,0.19572
"Martel, Jordan",LW,Drakkar, 2017-18 | Regular Season,21,0.218181818,0.127272727,0.345454545,19,55,19.71733346,0.563396246,0.194627794
"Francis, Ryan",RW,Screaming Eagles, 2017-18 | Regular Season,48,0.051724138,0.120689655,0.172413793,30,174,16.20404177,1.127630892,0.194419119
"Frattaroli, Brandon",D,Olympiques, 2017-18 | Regular Season,5,0,0.214285714,0.214285714,3,14,17.62825342,0.8989025,0.192621964
"Zachar, Marek",LW,Phoenix, 2017-18 | Regular Season,15,0.217391304,0.108695652,0.326086957,15,46,19.55375609,0.589666772,0.192282643
"Lafrance, Simon",C,Foreurs, 2017-18 | Regular Season,10,0.083333333,0.208333333,0.291666667,7,24,19.12190711,0.659021719,0.192214668
"Chekhovich, Ivan",LW,Drakkar, 2017-18 | Regular Season,21,0.163636364,0.109090909,0.272727273,15,55,18.85705949,0.701556246,0.191333522
"Imbeault, Anthony",LW,Cataractes, 2017-18 | Regular Season,6,0.066666667,0.133333333,0.2,3,15,17.28886986,0.9534075,0.1906815
"Somppi, Otto",C,Mooseheads, 2017-18 | Regular Season,46,0.111111111,0.252525253,0.363636364,72,198,19.98148713,0.520973167,0.189444788
"Gentile, Derek",RW,Remparts, 2017-18 | Regular Season,27,0.126436782,0.126436782,0.252873563,22,87,18.65362704,0.734227497,0.185666723
