Player Name,Games Played,Points Per Team Points %,Player Age,Draft Eligibility,Vollman Modifier,Adjusted Point %,League Adjusted Point %,"('Position', 'first')","('Adjusted Point %', 'std')","('Season', 'count')","('League', 'first')"
"Adamson, Austin",29.75,0.0647027766592984,19.01880650571134,1.0,0.6751796751827592,0.04251345071961802,0.041315239644245896,RW,0.014173869468200507,4,WHL
"Adamyk, Braeden",66.0,0.0684931506849315,18.045035563305227,0.0,0.8315672885331806,0.05695666359816305,0.05535138094092462,C,,1,WHL
"Addesi, Jordan",39.5,0.006696428571428571,17.47146539853186,1.0,0.9236826569957837,0.006682497623077597,0.006682497623077597,LW,0.009450478769082308,2,OHL
"Addison, Calen",65.5,0.20542114695340502,17.439544188128977,0.0,0.9288092033864865,0.18499816879423153,0.17978412827245094,D,0.07176062102777549,2,WHL
"Addison, Jeremiah",60.2,0.1645489313065444,18.384562151137047,0.0,0.7770393185273905,0.11073187512633118,0.11073187512633118,RW,0.049853774057139394,5,OHL
"Adolph, Max",44.5,0.059125777970762766,18.423938463637707,0.0,0.7707154827397844,0.04521403293612502,0.04393970789053879,C,0.0011852907378232045,2,WHL
"Adrian, Chance",40.0,0.026785714285714284,18.258609342829143,0.0,0.7972673395416399,0.021355375166293922,0.020753489254662374,LW,,1,WHL
"Afanasyev, Kristian",11.0,0.1282051282051282,18.231266053310552,0.0,0.8016586718383256,0.10277675279978532,0.12131581155126822,C,,1,QMJHL
"Agozzino, Andrew",62.4,0.26280641038314306,19.206092397269376,0.0,0.6451015609985385,0.15615746078527168,0.15615746078527168,C,0.05919525115457866,5,OHL
"Ahl, Filip",54.0,0.1825095057034221,19.774162853837367,0.0,0.553869445673719,0.10108643875413885,0.09823739007813376,LW,,1,WHL
"Ahlen, Mikael",34.0,0.1,19.925955477733904,0.0,0.5294915502759352,0.05294915502759352,0.05145682112122394,RW,,1,WHL
"Aitcheson, Tyson",60.0,0.09615384615384616,21.04822739322028,0.0,0.34925468064882326,0.033582180831617625,0.033582180831617625,D,,1,OHL
"Akeson, Jason",49.25,0.2878944157744604,19.29173685147957,0.0,0.631347061652381,0.1595787829525781,0.1595787829525781,RW,0.09341617435309765,4,OHL
"Alain, Alexandre",57.0,0.30860776743129686,20.306250551579062,0.0,0.4684161614164031,0.14193192958794326,0.16753387078244758,C,0.023383732169992264,2,QMJHL
"Alain, Marc-Olivier",21.0,0.0,17.64644835199156,0.0,0.8955803946701559,0.0,0.0,D,,1,QMJHL
"Alavie, Ben",47.0,0.06812267616509772,19.120735347381487,0.0,0.6588099032105333,0.04451822467734363,0.04451822467734363,D,0.010189845144975392,3,OHL
"Alberga, Domenic",63.25,0.11408090985915503,19.14163796520112,0.0,0.6554529427887007,0.076950108092769,0.076950108092769,C,0.03333567116757695,4,OHL
"Albert, Brad",57.666666666666664,0.060934505934505945,20.032543481444076,0.0,0.5123735168800815,0.029648896811501846,0.029648896811501846,D,0.006982683049523228,3,OHL
"Albertini, Chris",25.0,0.030303030303030307,19.169383570592693,0.0,0.6509969985628139,0.019727181774630728,0.019727181774630728,D,,1,OHL
"Alcock, Cody",55.0,0.15127660038374324,18.856052286231595,0.0,0.7013180028312058,0.08650779747024451,0.08650779747024451,LW,0.03866843655278536,4,OHL
"Alderson, Brandon",65.5,0.1761632704694953,19.657224839766357,0.0,0.5726496907335231,0.09316425605780711,0.09316425605780711,RW,0.016193456338912265,4,OHL
"Aleardi, Alex",44.57142857142857,0.20942999223809264,18.702108795831766,0.0,0.7260413273894185,0.13231964553709225,0.13231964553709225,RW,0.057537606245328124,7,OHL
"Alexander, Jacson",31.0,0.04,17.120629925255294,0.0,0.9800268340040001,0.03920107336016001,0.03809621926171479,D,,1,WHL
"Alexander, Mike",61.0,0.08233381502890173,19.678904517152418,0.0,0.5691679345453216,0.04328316406166935,0.04206325916855963,D,0.026793892469089562,2,WHL
"Alexandrov, Nikita",61.0,0.08874007936507936,18.031945783251487,0.0,0.8336695072098115,0.08292080199012962,0.09668443393421497,C,0.09854908053196357,2,QMJHL
"Alexeev, Andrey",58.0,0.09947832343946754,18.54354854001481,1.0,0.7515061044736211,0.07487335648758081,0.07487335648758081,RW,0.012750972254500052,2,OHL
"Alexeyev, Alexander",42.5,0.21648777579010137,17.751646231104836,0.0,0.8786856152845632,0.18410484781777853,0.17891598490613614,D,0.06076102021454358,2,WHL
"Alexeyev, Yaroslav",58.5,0.2591877591877592,18.55310258830232,0.0,0.7499717243186477,0.19581964678106165,0.23114195301738316,LW,0.04992672096333012,2,QMJHL
"Alexiuk, Lucas",28.5,0.10884581105169341,18.819582687419064,0.0,0.7071750204004987,0.0781877129714518,0.07598404843576688,D,0.04705544074936338,2,WHL
"Alfaro, Matt",50.4,0.2394969718541756,19.330813765284084,1.0,0.6250713092953758,0.13029599866426542,0.12662369952049932,C,0.05647824322702032,5,WHL
"Ali, Conor",54.0,0.04172235358623762,18.52697396879652,0.0,0.7541679806112791,0.031041695487724355,0.031041695487724355,D,0.0007870003489573996,2,OHL
"Aliu, Akim",35.0,0.275794811921338,19.485042622925043,0.0,0.6003021547582382,0.16567201882261884,0.16567201882261884,RW,0.03330572408209499,3,OHL
