Player Name,Games Played,Points Per Team Points %,Player Age,Draft Eligibility,Vollman Modifier,Adjusted Point %,League Adjusted Point %,"('Position', 'first')","('Adjusted Point %', 'std')","('Season', 'count')","('League', 'first')"
"Abbandonato, Peter",62.5,0.27642514449775224,19.354894771751017,1.0,0.6212038996567868,0.16726790391521962,0.1974399945237111,C,0.021702836518866318,2,QMJHL
"Abraham, Frédéric",14.0,0.09090909090909093,17.36359896985962,1.0,0.9410060054405451,0.08554600049459503,0.10097694461299098,C,,1,QMJHL
"Abramov, Vitalii",33.0,0.4541623667010664,19.303505921326188,1.0,0.6294569490350145,0.28565530528267274,0.3371823319987699,RW,0.03787336641960596,3,QMJHL
"Addison, Calen",65.5,0.20542114695340502,17.439544188128977,1.0,0.9288092033864865,0.18499816879423153,0.17978412827245094,D,0.07176062102777549,2,WHL
"Adrian, Chance",40.0,0.026785714285714284,18.258609342829143,1.0,0.7972673395416399,0.021355375166293922,0.020753489254662374,LW,,1,WHL
"Afanasyev, Kristian",11.0,0.1282051282051282,18.231266053310552,1.0,0.8016586718383256,0.10277675279978532,0.12131581155126822,C,,1,QMJHL
"Alain, Marc-Olivier",21.0,0.0,17.64644835199156,1.0,0.8955803946701559,0.0,0.0,D,,1,QMJHL
"Alexeyev, Alexander",42.5,0.21648777579010137,17.751646231104836,1.0,0.8786856152845632,0.18410484781777853,0.17891598490613614,D,0.06076102021454358,2,WHL
"Alexeyev, Yaroslav",58.5,0.2591877591877592,18.55310258830232,1.0,0.7499717243186477,0.19581964678106165,0.23114195301738316,LW,0.04992672096333012,2,QMJHL
"Ali, Conor",54.0,0.04172235358623762,18.52697396879652,1.0,0.7541679806112791,0.031041695487724355,0.031041695487724355,D,0.0007870003489573996,2,OHL
"Allair, Eric",14.5,0.03952702702702703,17.99752138738763,1.0,0.8391980651855473,0.03398661004803634,0.03398661004803634,D,0.02037918298754746,2,OHL
"Allen, Sean",44.666666666666664,0.025083839703722743,18.849600575280775,1.0,0.702354147609908,0.016929334968056584,0.016929334968056584,D,0.01123457276176353,3,OHL
"Almeida, Justin",47.5,0.1467331816928591,18.06394035310265,1.0,0.8285311792917144,0.11079384538459053,0.1076712004245656,C,0.06611197659312962,4,WHL
"Anderson, Baxter",44.0,0.03205128205128205,18.00653019575602,1.0,0.8377512505615834,0.02685100162056357,0.026094225424277348,LW,,1,WHL
"Anderson, Joshua",19.0,0.028985507246376805,18.63173678874569,1.0,0.7373430717274423,0.02137226294862151,0.025227430850535054,D,,1,QMJHL
"Anderson-Dolan, Jaret",69.0,0.2630307541996444,17.52410932542638,1.0,0.9152280423365236,0.23000664115004263,0.22352406915999834,C,0.0770785700546515,3,WHL
"Andrusiak, Zack",61.5,0.1762768817204301,19.196239745605666,1.0,0.6466838968557305,0.10377297308028302,0.10084820636376451,LW,0.09703506709526341,2,WHL
"Ang, Jonathan",51.6,0.23002498220898265,18.86703712055486,1.0,0.6995538384388902,0.15002936374822698,0.15002936374822698,C,0.030471520555358747,5,OHL
"Anglehart, Rémy",40.5,0.12320134155577195,18.066027384389702,1.0,0.8281960020670138,0.1013685838321336,0.11965363448828226,C,0.0016470425834568714,2,QMJHL
"Anholt, Tak",15.0,0.040816326530612235,18.67744040293236,1.0,0.7300030712890635,0.02979604372608422,0.028956263633183137,RW,,1,WHL
"Anttalainen, Aleksi",56.0,0.09821428571428573,18.831539392699504,1.0,0.7052547735324599,0.06926609382908089,0.0817604385909222,D,,1,QMJHL
"Appelt, Ryley",58.0,0.04519774011299435,18.140285038979652,1.0,0.8162702227398682,0.03689356938937257,0.03585375063309464,LW,,1,WHL
"Armstrong, Brandon",34.0,0.016393442622950817,18.037352576167066,1.0,0.8328011762675693,0.013652478299468347,0.013267693003807746,D,,1,WHL
"Arsenault, Alexis",58.0,0.06467661691542287,17.687163149217003,1.0,0.8890415982357496,0.05750020287096886,0.06787219469020547,D,,1,QMJHL
"Arsenault, Jacob",58.0,0.01990049751243781,18.66167152417608,1.0,0.7325355532173221,0.014577821954573574,0.017207396156153732,D,,1,QMJHL
"Aspirot, Jonathan",64.5,0.09623931623931624,18.034758273646197,1.0,0.8332178212524208,0.07852488784083424,0.09268935081010866,D,0.01104069205852201,2,QMJHL
"Asselin, Samuel",51.0,0.2667493796526055,19.004678452148077,1.0,0.6774486405850186,0.1774172826949229,0.20942013682106042,C,0.008896342115746152,2,QMJHL
"Atkinson, Scott",48.0,0.07692307692307693,17.70137873635266,1.0,0.886758574941763,0.06821219807244332,0.06628968625977216,C,,1,WHL
"Atwal, Arjun",22.5,0.0358451072736787,17.805807953154385,1.0,0.8699872427234059,0.03203431938513826,0.031131455100316324,LW,0.021782551071320756,2,WHL
"AuCoin, Parker",63.666666666666664,0.13793074759979365,18.64270575504573,1.0,0.7355814557396559,0.09546988105730776,0.09277913102617612,C,0.028580827165397397,3,WHL
"Aucoin, Yan",63.5,0.09700261780104712,18.00916587409393,1.0,0.8373279606205148,0.08179941962745889,0.09655454863279783,D,0.019357678804909156,2,QMJHL
